Number,Identifier,Length,Measure,,,,,
152,76_w,14,10207.29541250000,,,,,
153,77_l,53,10482.62615000000,,,,,
154,77_w,15,10489.40194940000,,,,,
155,78_l,38,10780.36905790000,,,,,
156,78_w,38,10777.46850600000,,,,,
157,79_l,64,10821.70836970000,,,,,
158,79_w,59,10805.25780000000,,,,,
159,80_l,163,10994.68700000000,,,,,
160,80_w,11,10994.68700000000,,,,,
161,81_l,64,11183.92078130000,,,,,
162,81_w,19,11185.34029560000,,,,,
163,82_l,56,11207.72457000000,,,,,
164,82_w,13,11208.04368510000,,,,,
165,83_l,53,11168.37263780000,,,,,
166,83_w,19,11169.84340000000,,,,,
167,84_l,144,11266.23345410000,,,,,
168,84_w,10,11282.16634120000,,,,,
169,85_l,50,11393.63763700000,,,,,
170,85_w,29,11393.58257670000,,,,,
171,86_l,63,11451.86534390000,,,,,
172,86_w,27,11450.14710000000,,,,,
173,87_l,49,11516.11490000000,,,,,
174,87_w,15,11518.77757260000,,,,,
175,88_l,42,11609.07845860000,,,,,
176,88_w,22,11610.98026310000,,,,,
177,89_l,45,11460.73757180000,,,,,
178,89_w,35,11453.33231170000,,,,,
179,90_l,29,11645.96201150000,,,,,
180,90_w,15,11649.67600480000,,,,,
181,91_l,137,11684.98035650000,,,,,
182,91_w,18,11695.91424680000,,,,,
183,92_l,53,11963.70646350000,,,,,
184,92_w,20,11961.55750040000,,,,,
185,93_l,64,12101.15063850000,,,,,
186,93_w,31,12111.41517900000,,,,,
187,94_l,64,12870.48837430000,,,,,
188,94_w,29,12931.61356460000,,,,,
189,95_l,49,12865.24580000000,,,,,
190,95_w,21,12923.74408110000,,,,,
191,96_l,59,13002.96421100000,,,,,
192,96_w,14,13004.31488050000,,,,,
193,97_l,54,14014.42605970000,,,,,
194,97_w,40,14014.12630370000,,,,,
195,98_l,42,14115.93273600000,,,,,
196,98_w,9,14118.81225690000,,,,,
197,99_l,31,14190.37404490000,,,,,
198,99_w,14,14190.56975650000,,,,,
199,100_l,60,14186.28530000000,,,,,
200,100_w,21,14186.28530000000,,,,,
201,101_l,41,14792.83020000000,,,,,
202,101_w,11,14792.83020000000,,,,,
203,102_l,116,16005.76645340000,,,,,
204,102_w,31,16013.08329430000,,,,,
205,103_l,64,17970.73752260000,,,,,
206,103_w,28,17970.23054030000,,,,,
207,104_l,82,20333.68500260000,,,,,
208,104_w,10,20333.79424330000,,,,,
209,105_l,71,7971.96640000000,,,,,
210,105_w,17,7971.96640000000,,,,,
