Number,Identifier,Length,Measure,ELJ_ID_1
245,123_l,13,35706.55660520000,
246,123_w,10,35706.97039740000,
247,124_l,31,35800.20137390000,
248,124_w,10,35804.85999130000,
249,125_l,32,35874.57026570000,
250,125_w,11,35873.84705860000,
251,126_l,8,35893.91726540000,
252,126_w,49,35893.99329170000,
253,127_l,38,35715.32427720000,
254,127_w,7,35714.38690520000,
255,128_l,49,36031.76334570000,
256,128_w,13,36028.87255379990,
257,129_l,40,36107.03490000000,
258,129_w,16,36107.03490000000,
259,130_l,48,36087.28014070000,
260,130_w,9,36089.55093760000,
261,131_l,27,36107.03490000000,
262,131_w,4,36107.03490000000,
263,132_l,20,35886.11047630000,
264,132_w,10,35887.33428480000,
265,133_l,18,35789.04311280000,
266,133_w,7,35787.95446790000,
267,134_l,28,35899.91130870000,
268,134_w,15,35899.59186980000,
269,135_l,72,35754.55730000000,
270,135_w,16,35754.55730000000,
271,136_l,74,35817.61270470000,
272,136_w,17,35817.67408430000,
273,137_l,42,35888.02419680000,
274,137_w,18,35896.88206490000,
275,138_l,35,36288.95362740000,
276,138_w,17,36289.51138250000,
277,139_l,40,36261.52116020000,
278,139_w,14,36266.87703050000,
279,140_l,22,36219.42234550000,
280,140_w,5,36219.85127130000,
281,141_l,29,36181.73214920000,
282,141_w,13,36181.65476650000,
283,142_l,46,36009.96562810000,
284,142_w,16,36006.84485600000,
285,143_l,33,36032.99953440000,
286,143_w,8,36033.71917910000,
287,144_l,56,36387.42497700000,
288,144_w,23,36394.02073930000,
289,145_l,66,36445.51870400000,
290,145_w,30,36449.55930800000,
291,146_l,36,36375.46238120000,
292,146_w,23,36373.27343370000,
293,147_l,47,36712.89483740000,
294,147_w,12,36721.53844840000,
295,148_l,60,36658.78772950000,
296,148_w,22,36658.80534640000,
297,149_l,71,36484.81291330000,
298,149_w,19,36484.11077620000,
299,150_l,47,36688.59820500000,
300,150_w,7,36689.35721480000,
301,151_l,45,36658.07057740000,
302,151_w,10,36658.06688050000,
303,152_l,38,36602.32485020000,
304,152_w,15,36596.46108000000,
305,153_l,56,36816.34350000000,
306,153_w,25,36816.34350000000,
307,154_l,43,36760.59737309990,
308,154_w,11,36768.08527830000,
309,155_l,51,37158.74942850000,
310,155_w,17,37157.57263190000,
311,156_l,46,37197.75459300000,
312,156_w,7,37197.84641520000,
313,157_l,23,37265.87084370000,
314,157_w,13,37263.65863300000,
315,158_l,17,37145.91384670000,
316,158_w,10,37143.62481230000,
317,159_l,50,37525.10633770000,
318,159_w,30,37523.95275120000,
319,160_l,72,37624.07273700000,
320,160_w,33,37618.24885760000,
321,161_l,53,37737.50740530000,
322,161_w,23,37734.28160720000,
323,162_l,113,37741.92955610000,
324,162_w,75,37735.91661580000,
325,163_l,79,37931.74271710000,
326,163_w,64,37924.00745830000,
327,164_l,96,37972.66450380000,
328,164_w,14,37987.12301110000,
329,165_l,44,37581.14616630000,
330,165_w,19,37578.73834300000,
331,166_l,37,37706.32969080000,
332,166_w,13,37701.90298100000,
333,167_l,67,37801.72411100000,
334,167_w,17,37798.04792430000,
335,168_l,100,37759.74189920000,
336,168_w,6,37758.38867550000,
337,169_l,72,37487.49610480000,
338,170_l,93,37496.77850000000,
339,170_w,21,37496.77850000000,
340,171_l,101,37421.25702320000,
341,171_w,23,37429.94328570000,
342,172_l,77,37311.67903510000,
343,172_w,9,37295.98006550000,
344,173_l,56,37354.77325300000,
345,173_w,10,37356.85647840000,
346,174_l,115,37257.15277360000,
347,174_w,13,37264.67179930000,
348,175_l,197,37147.51255420000,
349,175_w,52,37141.99930260000,
350,176_l,101,37102.33350000000,
351,176_w,38,37102.33350000000,
352,177_l,47,37102.33350000000,
353,177_w,25,37102.33350000000,
354,178_l,53,37102.33350000000,
355,178_w,9,37102.33350000000,
356,179_l,26,37102.33350000000,
357,179_w,11,37102.33350000000,
358,180_l,57,37102.33350000000,
359,180_w,5,37102.33350000000,
360,181_l,31,37102.33350000000,
361,181_w,10,37102.33350000000,
362,182_l,134,36545.15460000000,
363,182_w,22,36545.15460000000,
364,183_l,38,36545.15460000000,
365,183_w,26,36545.15460000000,
366,184_l,65,36257.14482470000,
367,184_w,48,36249.49669440000,
368,185_l,64,36107.03490000000,
369,185_w,16,36107.03490000000,
370,186_l,26,36119.44912600000,
371,186_w,11,36121.30676690000,
372,187_l,17,36126.61891630000,
373,187_w,8,36127.00709230000,
374,188_l,70,36107.03490000000,
375,188_w,8,36107.03490000000,
376,169_w,133,37473.25097360000,
377,189_l,40,37799.06600420000,
378,189_w,12,37800.10983670000,
379,190_l,60,38067.30994220000,
380,190_w,21,38069.38284010000,
381,191_l,43,38134.99970000000,
382,191_w,6,38134.99970000000,
383,192_l,47,38065.15491020000,
384,192_w,14,38060.09690690000,
385,193_l,29,38154.30124830000,
386,193_w,13,38158.40446370000,
387,194_l,123,38281.08943590000,
388,194_w,25,38321.15006270000,
389,195_l,79,38435.75111550000,
390,195_w,24,38445.87174780000,
391,196_l,58,38396.62601340000,
392,196_w,10,38396.64725050000,
393,197_l,66,38343.17349770000,
394,197_w,13,38340.13170960000,
395,198_l,50,38490.28482140000,
396,198_w,23,38491.97920070000,
397,199_l,81,38551.61071590000,
398,199_w,23,38557.98278100000,
399,200_l,44,38369.46920970000,
400,200_w,19,38377.24258370000,
401,201_l,65,38546.58360260000,
402,201_w,12,38533.97018460000,
403,202_l,63,38614.90100000000,
404,202_w,15,38614.90100000000,
405,203_l,63,38681.36447960000,
406,203_w,22,38677.25250000000,
407,204_l,41,38690.26231160000,
408,204_w,12,38688.26971150000,
409,205_w,44,38838.65821170000,
410,206_l,212,38735.85162390000,
411,206_w,26,38736.39244460000,
412,205_l,59,38830.17352740000,
413,207_l,40,40183.28658060000,
414,207_w,19,40189.90973520000,
415,208_l,131,41547.03342320000,
416,208_w,74,41551.46098290000,
417,209_l,76,41638.52560000000,
418,209_w,22,41638.52560000000,
419,210_l,66,41780.60485910000,
420,210_w,39,41779.51170870000,
421,211_l,23,42974.59549380000,
422,211_w,15,42975.47130100000,
423,212_l,97,43353.03963720000,
424,212_w,25,43336.84697750000,
425,213_l,36,43433.46356180000,
426,213_w,16,43434.23283620000,
427,214_l,184,52658.76126690000,
428,214_w,22,52652.46299280000,
429,215_l,84,55435.12275160000,
430,215_w,17,55431.18046230000,
431,216_l,59,55588.09180450000,
432,216_w,20,55589.06954860000,
433,217_l,47,55630.46940000000,
434,217_w,16,55630.46940000000,
435,218_l,29,55650.18417910000,
436,218_w,12,55649.87633470000,
