,,,,,,,,,,,,,,,,,,,,,,,,,,,,rkm,size,type,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,44,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,260,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,285,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,136,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,168,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,1474,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,1040,Boulders,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,936,Boulders,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,315,Boulders,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,374,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,200,Live Trees,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,266,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,240,Boulders,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,152,Channel Spanning,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,216,Meander,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,102,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,217,Key Pieces,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,72,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,722,Channel Spanning,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,40,Live Trees,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,268,Live Trees,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,140,Drift/Bar Top,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,531,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,1170,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,168,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,125,Key Pieces,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,689,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,437,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,72,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,276,Drift/Bar Top,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,130,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,848,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,77,Stumps,,,,,,,,,
